Data;Hora;Temperatura;Umidade
01/01/18;0;24.4;85
01/01/18;1200;23;91
01/01/18;1800;22.4;94
02/01/18;0;21.2;94
02/01/18;1200;20.2;100
02/01/18;1800;21.6;95
03/01/18;0;20;98
03/01/18;1200;23;88
03/01/18;1800;30;61
04/01/18;0;24.2;69
04/01/18;1200;24.2;72
04/01/18;1800;29.2;59
05/01/18;0;25.4;73
05/01/18;1200;24.4;69
05/01/18;1800;31.2;61
06/01/18;0;27.4;76
06/01/18;1200;23.4;91
06/01/18;1800;29.6;62
07/01/18;0;21.4;91
07/01/18;1200;22.6;80
07/01/18;1800;28;62
08/01/18;0;24.2;72
08/01/18;1200;24;73
08/01/18;1800;22.8;88
09/01/18;0;20.8;87
09/01/18;1200;18.4;98
09/01/18;1800;20.4;98
10/01/18;0;20.2;98
10/01/18;1200;20;98
10/01/18;1800;25.6;79
11/01/18;0;24.2;90
11/01/18;1200;23.2;89
11/01/18;1800;29.2;70
12/01/18;0;24.2;84
12/01/18;1200;22.6;83
12/01/18;1800;27;77
13/01/18;0;21.4;94
13/01/18;1200;19.8;96
13/01/18;1800;24;89
14/01/18;0;21;98
14/01/18;1200;20.2;98
14/01/18;1800;27.8;73
15/01/18;0;21.6;95
15/01/18;1200;22.6;89
15/01/18;1800;24;78
16/01/18;0;21;96
16/01/18;1200;21;98
16/01/18;1800;26.2;83
17/01/18;0;24.8;92
17/01/18;1200;22.4;94
17/01/18;1800;29.2;71
18/01/18;0;23.8;91
18/01/18;1200;22;98
18/01/18;1800;30;72
19/01/18;0;20.8;95
19/01/18;1200;21.8;95
19/01/18;1800;30.2;65
20/01/18;0;23.8;88
20/01/18;1200;22.6;89
20/01/18;1800;30.6;64
21/01/18;0;23;89
21/01/18;1200;25.2;80
21/01/18;1800;32.6;54
22/01/18;0;27.2;78
22/01/18;1200;23.2;86
22/01/18;1800;32;63
23/01/18;0;26.2;80
23/01/18;1200;25;79
23/01/18;1800;33.8;53
24/01/18;0;29.8;71
24/01/18;1200;26;76
24/01/18;1800;33.8;54
25/01/18;0;24.2;88
25/01/18;1200;24.2;84
25/01/18;1800;31.4;63
26/01/18;0;25;79
26/01/18;1200;25;71
26/01/18;1800;30.2;65
27/01/18;0;25.8;73
27/01/18;1200;24.4;66
27/01/18;1800;30;60
28/01/18;0;25;81
28/01/18;1200;21.2;87
28/01/18;1800;29.8;65
29/01/18;0;25.6;79
29/01/18;1200;24;85
29/01/18;1800;29;61
30/01/18;0;25;86
30/01/18;1200;20.6;91
30/01/18;1800;26;78
31/01/18;0;23.4;88
31/01/18;1200;22.4;76
31/01/18;1800;30;60
01/02/18;0;26.4;69
01/02/18;1200;22.6;78
01/02/18;1800;29.2;56
02/02/18;0;25;74
02/02/18;1200;24;72
02/02/18;1800;30;66
03/02/18;0;24.6;77
03/02/18;1200;23;78
03/02/18;1800;30.6;51
04/02/18;0;26.6;68
04/02/18;1200;22;74
04/02/18;1800;29.4;57
05/02/18;0;24.8;77
05/02/18;1200;22;74
05/02/18;1800;30.4;53
06/02/18;0;24;72
06/02/18;1200;22.6;71
06/02/18;1800;31.6;48
07/02/18;0;25.8;68
07/02/18;1200;23.6;75
07/02/18;1800;31;45
08/02/18;0;28;62
08/02/18;1200;24.6;72
08/02/18;1800;32.6;47
09/02/18;0;28.6;65
09/02/18;1200;25;69
09/02/18;1800;33.2;41
10/02/18;0;23;93
10/02/18;1200;21.2;98
10/02/18;1800;25.4;75
11/02/18;0;23.8;88
11/02/18;1200;23;81
11/02/18;1800;24.4;90
12/02/18;0;22.2;98
12/02/18;1200;23;91
12/02/18;1800;27.6;70
13/02/18;0;22;96
13/02/18;1200;20;94
13/02/18;1800;22.6;84
14/02/18;0;20.2;91
14/02/18;1200;20;81
14/02/18;1800;26.6;66
15/02/18;0;21;84
15/02/18;1200;21.2;78
15/02/18;1800;27.8;59
16/02/18;0;23.6;80
16/02/18;1200;22;74
16/02/18;1800;30.8;62
17/02/18;0;25.8;78
17/02/18;1200;20.2;85
17/02/18;1800;29.4;65
18/02/18;0;21.6;91
18/02/18;1200;21.4;85
18/02/18;1800;25.2;75
19/02/18;0;23.2;86
19/02/18;1200;21;98
19/02/18;1800;20.2;91
20/02/18;0;20;96
20/02/18;1200;19.6;100
20/02/18;1800;23.6;84
21/02/18;0;22;89
21/02/18;1200;21;91
21/02/18;1800;30.4;52
22/02/18;0;25.6;79
22/02/18;1200;21.8;86
22/02/18;1800;31.4;44
23/02/18;0;23.8;64
23/02/18;1200;23;77
23/02/18;1800;30;54
24/02/18;0;25;72
24/02/18;1200;22.2;76
24/02/18;1800;31;56
25/02/18;0;25.2;73
25/02/18;1200;22.2;78
25/02/18;1800;31.8;47
26/02/18;0;26;67
26/02/18;1200;23.4;74
26/02/18;1800;32;51
27/02/18;0;27.2;63
27/02/18;1200;22.2;96
27/02/18;1800;28;60
28/02/18;0;25.6;73
28/02/18;1200;24;83
28/02/18;1800;20.8;93
01/03/18;0;23.4;88
01/03/18;1200;24.4;85
01/03/18;1800;31;60
02/03/18;0;25.4;84
02/03/18;1200;25.4;83
02/03/18;1800;31;71
03/03/18;0;25;90
03/03/18;1200;25.4;86
03/03/18;1800;25;81
04/03/18;0;21.6;97
04/03/18;1200;23.6;84
04/03/18;1800;32.2;51
05/03/18;0;26.4;78
05/03/18;1200;25.8;80
05/03/18;1800;31.8;55
06/03/18;0;27.6;68
06/03/18;1200;27;77
06/03/18;1800;33.4;47
07/03/18;0;26.2;80
07/03/18;1200;25;81
07/03/18;1800;31.4;59
08/03/18;0;25;86
08/03/18;1200;24.2;77
08/03/18;1800;29.6;58
09/03/18;0;25.4;86
09/03/18;1200;21.6;86
09/03/18;1800;31.2;60
10/03/18;0;23;88
10/03/18;1200;22.6;84
10/03/18;1800;31.2;60
11/03/18;0;24.6;85
11/03/18;1200;24.6;84
11/03/18;1800;32.4;58
12/03/18;0;27.2;69
12/03/18;1200;27.2;76
12/03/18;1800;34.2;48
13/03/18;0;28;75
13/03/18;1200;27;77
13/03/18;1800;30;69
14/03/18;0;24;88
14/03/18;1200;25;89
14/03/18;1800;33.4;53
15/03/18;0;25;79
15/03/18;1200;24.8;77
15/03/18;1800;32.4;58
16/03/18;0;24.4;77
16/03/18;1200;24.4;80
16/03/18;1800;30.8;62
17/03/18;0;27;84
17/03/18;1200;26.4;78
17/03/18;1800;33.2;55
18/03/18;0;25;81
18/03/18;1200;26;76
18/03/18;1800;34.2;51
19/03/18;0;29.6;69
19/03/18;1200;28.2;76
19/03/18;1800;30.2;65
20/03/18;0;25.8;81
20/03/18;1200;27.8;70
20/03/18;1800;33.4;47
21/03/18;0;23.6;81
21/03/18;1200;23.2;86
21/03/18;1800;30.6;66
22/03/18;0;22.6;97
22/03/18;1200;21.2;91
22/03/18;1800;27;71
23/03/18;0;23.2;86
23/03/18;1200;22;84
23/03/18;1800;22;94
24/03/18;0;21.2;98
24/03/18;1200;24.6;81
24/03/18;1800;32.4;54
25/03/18;0;28.6;69
25/03/18;1200;23.8;87
25/03/18;1800;21.8;90
26/03/18;0;20.6;98
26/03/18;1200;20.2;98
26/03/18;1800;25.6;81
27/03/18;0;20.6;98
27/03/18;1200;20.8;95
27/03/18;1800;25.6;75
28/03/18;0;23;89
28/03/18;1200;23;83
28/03/18;1800;28;66
29/03/18;0;22.6;84
29/03/18;1200;22.8;88
29/03/18;1800;30.4;58
30/03/18;0;23.2;84
30/03/18;1200;22.2;91
30/03/18;1800;30.4;68
31/03/18;0;23.8;82
31/03/18;1200;20.6;95
31/03/18;1800;22.8;85
01/04/18;0;21.6;93
01/04/18;1200;22;93
01/04/18;1800;27;72
02/04/18;0;20;98
02/04/18;1200;21.4;96
02/04/18;1800;26;78
03/04/18;0;24;83
03/04/18;1200;21.6;91
03/04/18;1800;29.4;52
04/04/18;0;23.2;74
04/04/18;1200;21.8;79
04/04/18;1800;29.2;59
05/04/18;0;24.2;77
05/04/18;1200;22.6;80
05/04/18;1800;29;60
06/04/18;0;24.8;74
06/04/18;1200;22.4;85
06/04/18;1800;28;60
07/04/18;0;26;70
07/04/18;1200;21.8;82
07/04/18;1800;31.2;53
08/04/18;0;24;77
08/04/18;1200;22.2;81
08/04/18;1800;31.4;49
09/04/18;0;24.2;77
09/04/18;1200;22.2;83
09/04/18;1800;30.4;54
10/04/18;0;23.4;88
10/04/18;1200;23.2;74
10/04/18;1800;29.6;55
11/04/18;0;25;78
11/04/18;1200;22.6;78
11/04/18;1800;30;46
12/04/18;0;23.4;74
12/04/18;1200;22.4;77
12/04/18;1800;29.8;50
13/04/18;0;24.4;72
13/04/18;1200;23.2;75
13/04/18;1800;30.2;48
14/04/18;0;25;74
14/04/18;1200;23.4;77
14/04/18;1800;30.6;56
15/04/18;0;24.2;82
15/04/18;1200;20;85
15/04/18;1800;24;75
16/04/18;0;20.2;87
16/04/18;1200;19.4;83
16/04/18;1800;25;65
17/04/18;0;20.6;78
17/04/18;1200;18.4;92
17/04/18;1800;26.6;57
18/04/18;0;21.8;74
18/04/18;1200;19.2;77
18/04/18;1800;28.6;54
19/04/18;0;23;75
19/04/18;1200;21;78
19/04/18;1800;29.6;47
20/04/18;0;23.8;70
20/04/18;1200;18.6;87
20/04/18;1800;30.6;50
21/04/18;0;23.8;72
21/04/18;1200;22;70
21/04/18;1800;31;47
22/04/18;0;24.6;70
22/04/18;1200;20;78
22/04/18;1800;30.2;47
23/04/18;0;24.2;66
23/04/18;1200;21;79
23/04/18;1800;30;53
24/04/18;0;24.2;74
24/04/18;1200;21.2;83
24/04/18;1800;30.4;52
25/04/18;0;23.4;74
25/04/18;1200;21.2;82
25/04/18;1800;28.4;54
26/04/18;0;23.2;75
26/04/18;1200;21.2;85
26/04/18;1800;30.4;48
27/04/18;0;26.8;65
27/04/18;1200;22.2;78
27/04/18;1800;30.4;51
28/04/18;0;25.2;77
28/04/18;1200;22;79
28/04/18;1800;30.6;53
29/04/18;0;24.6;81
29/04/18;1200;22.6;80
29/04/18;1800;30.2;51
30/04/18;0;24.2;74
30/04/18;1200;23;77
30/04/18;1800;31.6;50
01/05/18;0;27.2;67
01/05/18;1200;23.2;74
01/05/18;1800;31.4;42
02/05/18;0;24.6;67
02/05/18;1200;21.4;81
02/05/18;1800;30;52
03/05/18;0;25.4;73
03/05/18;1200;22.8;83
03/05/18;1800;30.2;45
04/05/18;0;24.6;63
04/05/18;1200;22;80
04/05/18;1800;30;43
05/05/18;0;23.8;70
05/05/18;1200;21;76
05/05/18;1800;30.8;50
06/05/18;0;24.6;76
06/05/18;1200;20.8;84
06/05/18;1800;30;61
07/05/18;0;22.8;83
07/05/18;1200;22;76
07/05/18;1800;27.8;55
08/05/18;0;21.8;76
08/05/18;1200;20.6;78
08/05/18;1800;27.4;55
09/05/18;0;21.4;81
09/05/18;1200;19;81
09/05/18;1800;27;57
10/05/18;0;21.2;80
10/05/18;1200;19.6;77
10/05/18;1800;27.6;55
11/05/18;0;23;77
11/05/18;1200;20;83
11/05/18;1800;27.6;58
12/05/18;0;22.4;73
12/05/18;1200;18;84
12/05/18;1800;27.4;48
13/05/18;0;19.8;80
13/05/18;1200;17;90
13/05/18;1800;27;55
14/05/18;0;20;81
14/05/18;1200;18.6;76
14/05/18;1800;27.4;55
15/05/18;0;22;71
15/05/18;1200;22;74
15/05/18;1800;30;54
16/05/18;0;23.8;79
16/05/18;1200;18;92
16/05/18;1800;24.6;76
17/05/18;0;20.6;88
17/05/18;1200;19.8;83
17/05/18;1800;27;59
18/05/18;0;22.4;85
18/05/18;1200;19;90
18/05/18;1800;27;64
19/05/18;0;23.8;79
19/05/18;1200;17.4;88
19/05/18;1800;19;77
20/05/18;0;13.4;72
20/05/18;1200;9.8;84
20/05/18;1800;18.6;48
21/05/18;0;12;79
21/05/18;1200;11;81
21/05/18;1800;20.4;54
22/05/18;0;15;73
22/05/18;1200;13.8;80
22/05/18;1800;24;43
23/05/18;0;16;79
23/05/18;1200;14.2;77
23/05/18;1800;25;44
24/05/18;0;17.4;76
24/05/18;1200;17.2;82
24/05/18;1800;24.2;56
25/05/18;0;18.2;84
25/05/18;1200;15.6;85
25/05/18;1800;24;61
26/05/18;0;18.4;86
26/05/18;1200;17.4;94
26/05/18;1800;25.8;55
27/05/18;0;19.8;81
27/05/18;1200;17;90
27/05/18;1800;26;52
28/05/18;0;20;78
28/05/18;1200;17;80
28/05/18;1800;25;46
29/05/18;0;19;73
29/05/18;1200;16.8;82
29/05/18;1800;25.6;47
30/05/18;0;21;74
30/05/18;1200;16.4;81
30/05/18;1800;25.6;46
31/05/18;0;20;77
31/05/18;1200;18;76
31/05/18;1800;26.6;43
01/06/18;0;20.2;70
01/06/18;1200;16.2;77
01/06/18;1800;21.6;62
02/06/18;0;17.4;86
02/06/18;1200;18.4;82
02/06/18;1800;21.8;79
03/06/18;0;18.6;94
03/06/18;1200;17;98
03/06/18;1800;21.4;85
04/06/18;0;18.4;96
04/06/18;1200;15;85
04/06/18;1800;19.2;74
05/06/18;0;16.2;89
05/06/18;1200;15.4;94
05/06/18;1800;21;80
06/06/18;0;18;90
06/06/18;1200;16.6;86
06/06/18;1800;21.6;71
07/06/18;0;18.4;84
07/06/18;1200;17.4;92
07/06/18;1800;18.6;81
08/06/18;0;15.4;91
08/06/18;1200;10.2;97
08/06/18;1800;21.8;48
09/06/18;0;15.2;84
09/06/18;1200;11.2;85
09/06/18;1800;20.6;67
10/06/18;0;16.8;86
10/06/18;1200;15.6;91
10/06/18;1800;26.6;59
11/06/18;0;22.4;86
11/06/18;1200;21.4;85
11/06/18;1800;30.4;52
12/06/18;0;26;67
12/06/18;1200;22.8;76
12/06/18;1800;20.2;94
13/06/18;0;20;93
13/06/18;1200;20;94
13/06/18;1800;23.4;70
14/06/18;0;17.6;84
14/06/18;1200;14.8;79
14/06/18;1800;20.2;77
15/06/18;0;18;92
15/06/18;1200;15.4;94
15/06/18;1800;21.8;73
16/06/18;0;17;75
16/06/18;1200;15;84
16/06/18;1800;21;68
17/06/18;0;17.4;84
17/06/18;1200;14.6;84
17/06/18;1800;24.8;63
18/06/18;0;18;86
18/06/18;1200;15.2;87
18/06/18;1800;22.6;71
19/06/18;0;15.6;91
19/06/18;1200;13.4;94
19/06/18;1800;23.2;65
20/06/18;0;17.4;92
20/06/18;1200;16.2;94
20/06/18;1800;25.4;63
21/06/18;0;20;87
21/06/18;1200;17;92
21/06/18;1800;27.4;53
22/06/18;0;21;80
22/06/18;1200;16.4;87
22/06/18;1800;27.8;47
23/06/18;0;20;74
23/06/18;1200;18.2;78
23/06/18;1800;28.4;48
24/06/18;0;21.2;78
24/06/18;1200;20.6;77
24/06/18;1800;29.2;45
25/06/18;0;23;66
25/06/18;1200;19.6;78
25/06/18;1800;29.2;42
26/06/18;0;24.2;55
26/06/18;1200;19.2;81
