Titulo,Pais,Visualizacoes,Valor Unitario
Cry 'Havoc',Russia,42,9.90
"Cake Eaters, The",Russia,2,9.69
Blankman,Afghanistan,95,8.58
Entre nos (Between Us),China,61,8.06
Becoming Jane,Colombia,31,6.88
"Case of the Whitechapel Vampire, The",Philippines,17,6.89
"Endless Summer 2, The",Philippines,55,8.09
Slipstream,China,94,9.96
High Anxiety,China,53,6.14
Demonic Toys,Indonesia,32,8.83
Attack on Leningrad,Russia,19,8.57
Travels with My Aunt,China,24,5.66
Somersault,Finland,55,6.50
Swiss Family Robinson,United States,41,6.48
Sholay,Japan,33,6.56
Justice League: Crisis on Two Earths,Brazil,7,9.79
